,Predictions
2021-10-15,2806.534869059245
2021-10-16,2281.8938515625
2021-10-17,2477.0115329589844
2021-10-18,2775.512413574219
2021-10-19,2373.6089931640627
2021-10-20,4185.4654194335935
2021-10-21,2642.510760009766
2021-10-22,3229.0725244140626
2021-10-23,2644.146052246094
2021-10-24,2857.5543432617187
2021-10-25,3125.0573461914064
2021-10-26,2469.827045410156
2021-10-27,4455.221217773437
2021-10-28,4375.662046875
2021-10-29,2459.5741057128907
2021-10-30,4218.110021484375
2021-10-31,2641.617987792969
2021-11-01,2433.8888818359374
2021-11-02,2576.4993232421875
2021-11-03,4439.418705078125
2021-11-04,3811.9133706054686
2021-11-05,3451.449933105469
2021-11-06,3692.615802734375
2021-11-07,2948.0086176757814
2021-11-08,2979.7682438964844
2021-11-09,4357.762938476562
2021-11-10,3213.3116225585936
2021-11-11,2560.3917475585936
2021-11-12,4448.390391601562
2021-11-13,3244.344935546875
2021-11-14,3893.7629775390624
2021-11-15,2892.006129638672
2021-11-16,2837.8858618164063
2021-11-17,2722.4197829589843
2021-11-18,2283.6134853515623
2021-11-19,2783.0197985839845
2021-11-20,3376.6244853515627
2021-11-21,2523.4342312011718
2021-11-22,2364.06403515625
2021-11-23,2936.2433818359377
2021-11-24,3464.9708745117186
2021-11-25,4483.402227539063
2021-11-26,4241.7791328125
2021-11-27,3910.2015517578125
2021-11-28,2659.943178955078
2021-11-29,2979.1733825683596
2021-11-30,3175.3332836914065
2021-12-01,4429.84002734375
2021-12-02,2751.7226989746096
2021-12-03,2285.686287109375
2021-12-04,4202.3479184570315
2021-12-05,3725.112234863281
2021-12-06,2932.220395019531
2021-12-07,2816.5856638183595
2021-12-08,2868.6252009277346
2021-12-09,2427.387408203125
2021-12-10,2350.843389160156
2021-12-11,2738.756186035156
2021-12-12,2887.912329020182
2021-12-13,3282.755512207031
2021-12-14,3558.1636943359376
2021-12-15,2391.2357998046873
2021-12-16,4155.056319824219
2021-12-17,2867.626557861328
2021-12-18,3937.6936567382813
2021-12-19,2928.6446235351564
2021-12-20,4187.655141113281
2021-12-21,3065.8889614257814
2021-12-22,4484.6559921875
2021-12-23,3225.6912294921876
2021-12-24,2887.750668375651
2021-12-25,2791.820018066406
2021-12-26,3816.329851074219
2021-12-27,3698.3173037109377
2021-12-28,2474.165563232422
2021-12-29,2487.548094970703
2021-12-30,2788.580496582031
2021-12-31,2282.9852016601562
2022-01-01,2649.6014240722657
2022-01-02,2637.9984501953127
2022-01-03,2636.6988125
2022-01-04,2880.302789794922
2022-01-05,3084.3368208007814
2022-01-06,2679.840823730469
2022-01-07,4463.0491015625
2022-01-08,2719.58646484375
2022-01-09,2904.004203857422
2022-01-10,2495.047077392578
2022-01-11,3000.871750488281
2022-01-12,2446.3693388671877
2022-01-13,4171.741943847656
2022-01-14,2838.151958496094
2022-01-15,2881.1077189127604
2022-01-16,4160.0669819335935
2022-01-17,3295.6531103515626
2022-01-18,2826.8274841308594
2022-01-19,4479.079743164062
2022-01-20,2786.457173095703
2022-01-21,3241.9545971679686
2022-01-22,2994.3983896484374
